primary_path,secondary_path,numHops_secondary,distance_secondary
1612.0,1608.0,1.0,13.0
1613.0,1608.0,1.0,13.0
1614.0,1608.0,1.0,13.0
1621.0,1615.0,3.0,34.0
1621.0,1616.0,4.0,40.0
1621.0,1618.0,4.0,45.0
1621.0,1619.0,5.0,51.0
1615.0,1621.0,1.0,9.0
1616.0,1621.0,1.0,9.0
1618.0,1621.0,1.0,9.0
1619.0,1621.0,1.0,9.0
1630.0,1624.0,3.0,32.0
1630.0,1626.0,4.0,43.0
1624.0,1630.0,2.0,17.0
1626.0,1630.0,2.0,17.0
1634.0,1636.0,2.0,23.0
1634.0,1638.0,3.0,34.0
1634.0,1640.0,4.0,40.0
1636.0,1634.0,2.0,20.0
1638.0,1634.0,2.0,20.0
1640.0,1634.0,2.0,20.0
1642.0,1658.0,2.0,14.0
1642.0,1646.0,6.0,56.2
1642.0,1648.0,8.0,62.7
1642.0,1650.0,8.0,76.2
1642.0,1654.0,8.0,83.0
1642.0,1652.0,9.0,81.0
1642.0,1653.0,9.0,82.0
1658.0,1642.0,2.0,14.0
1658.0,1644.0,3.0,34.0
1644.0,1658.0,2.0,14.0
1644.0,1646.0,6.0,56.2
1644.0,1648.0,8.0,62.7
1644.0,1650.0,8.0,76.2
1644.0,1654.0,8.0,83.0
1644.0,1652.0,9.0,81.0
1644.0,1653.0,9.0,82.0
1646.0,1642.0,2.0,14.0
1646.0,1644.0,3.0,34.0
1648.0,1642.0,2.0,14.0
1648.0,1644.0,3.0,34.0
1650.0,1642.0,2.0,14.0
1650.0,1644.0,3.0,34.0
1654.0,1642.0,2.0,14.0
1654.0,1644.0,3.0,34.0
1652.0,1642.0,2.0,14.0
1652.0,1644.0,3.0,34.0
1653.0,1642.0,2.0,14.0
1653.0,1644.0,3.0,34.0
1676.0,1660.0,3.0,19.0
1676.0,1662.0,4.0,39.0
1660.0,1676.0,1.0,9.0
1660.0,1664.0,5.0,51.2
1660.0,1665.0,7.0,57.7
1660.0,1668.0,7.0,71.2
1660.0,1671.0,7.0,78.0
1660.0,1669.0,8.0,76.0
1660.0,1670.0,8.0,77.0
1662.0,1676.0,1.0,9.0
1662.0,1664.0,5.0,51.2
1662.0,1665.0,7.0,57.7
1662.0,1668.0,7.0,71.2
1662.0,1671.0,7.0,78.0
1662.0,1669.0,8.0,76.0
1662.0,1670.0,8.0,77.0
1664.0,1660.0,3.0,19.0
1664.0,1662.0,4.0,39.0
1665.0,1660.0,3.0,19.0
1665.0,1662.0,4.0,39.0
1668.0,1660.0,3.0,19.0
1668.0,1662.0,4.0,39.0
1671.0,1660.0,3.0,19.0
1671.0,1662.0,4.0,39.0
1669.0,1660.0,3.0,19.0
1669.0,1662.0,4.0,39.0
1670.0,1660.0,3.0,19.0
1670.0,1662.0,4.0,39.0
1678.0,1692.0,1.0,7.0
1678.0,1693.0,3.0,24.0
1678.0,1680.0,5.0,49.2
1678.0,1681.0,7.0,55.7
1678.0,1682.0,7.0,66.2
1678.0,1683.0,7.0,69.2
1678.0,1687.0,7.0,76.0
1678.0,1685.0,8.0,74.0
1678.0,1686.0,8.0,75.0
1678.0,1684.0,9.0,72.7
1678.0,1688.0,9.0,86.2
1678.0,1691.0,9.0,93.0
1678.0,1689.0,10.0,91.0
1678.0,1690.0,10.0,92.0
1692.0,1678.0,1.0,4.0
1692.0,1679.0,2.0,24.0
1679.0,1692.0,1.0,7.0
1679.0,1693.0,3.0,24.0
1679.0,1680.0,5.0,49.2
1679.0,1681.0,7.0,55.7
1679.0,1682.0,7.0,66.2
1679.0,1683.0,7.0,69.2
1679.0,1687.0,7.0,76.0
1679.0,1685.0,8.0,74.0
1679.0,1686.0,8.0,75.0
1679.0,1684.0,9.0,72.7
1679.0,1688.0,9.0,86.2
1679.0,1691.0,9.0,93.0
1679.0,1689.0,10.0,91.0
1679.0,1690.0,10.0,92.0
1693.0,1678.0,1.0,4.0
1693.0,1679.0,2.0,24.0
1680.0,1678.0,1.0,4.0
1680.0,1679.0,2.0,24.0
1681.0,1678.0,1.0,4.0
1681.0,1679.0,2.0,24.0
1682.0,1678.0,1.0,4.0
1682.0,1679.0,2.0,24.0
1683.0,1678.0,1.0,4.0
1683.0,1679.0,2.0,24.0
1687.0,1678.0,1.0,4.0
1687.0,1679.0,2.0,24.0
1685.0,1678.0,1.0,4.0
1685.0,1679.0,2.0,24.0
1686.0,1678.0,1.0,4.0
1686.0,1679.0,2.0,24.0
1684.0,1678.0,1.0,4.0
1684.0,1679.0,2.0,24.0
1688.0,1678.0,1.0,4.0
1688.0,1679.0,2.0,24.0
1691.0,1678.0,1.0,4.0
1691.0,1679.0,2.0,24.0
1689.0,1678.0,1.0,4.0
1689.0,1679.0,2.0,24.0
1690.0,1678.0,1.0,4.0
1690.0,1679.0,2.0,24.0
1694.0,1717.0,2.0,22.0
1694.0,1719.0,4.0,39.0
1694.0,1697.0,6.0,64.2
1694.0,1699.0,8.0,70.7
1694.0,1701.0,8.0,81.2
1694.0,1703.0,8.0,84.2
1694.0,1711.0,8.0,91.0
1694.0,1709.0,9.0,89.0
1694.0,1710.0,9.0,90.0
1694.0,1706.0,10.0,87.7
1694.0,1713.0,10.0,101.2
1717.0,1694.0,1.0,9.0
1719.0,1694.0,1.0,9.0
1697.0,1694.0,1.0,9.0
1699.0,1694.0,1.0,9.0
1701.0,1694.0,1.0,9.0
1703.0,1694.0,1.0,9.0
1711.0,1694.0,1.0,9.0
1709.0,1694.0,1.0,9.0
1710.0,1694.0,1.0,9.0
1706.0,1694.0,1.0,9.0
1713.0,1694.0,1.0,9.0
1721.0,1720.0,3.0,52.0
1720.0,1721.0,1.0,10.0
1720.0,1722.0,4.0,46.0
1720.0,1723.0,7.0,71.0
1720.0,1724.0,7.0,73.0
1722.0,1720.0,3.0,52.0
1723.0,1720.0,3.0,52.0
1724.0,1720.0,3.0,52.0
1725.0,1726.0,3.0,46.0
1725.0,1727.0,6.0,82.0
1725.0,1728.0,9.0,107.0
1725.0,1729.0,9.0,109.0
1726.0,1725.0,1.0,16.0
1727.0,1725.0,1.0,16.0
1728.0,1725.0,1.0,16.0
1729.0,1725.0,1.0,16.0
1731.0,1730.0,2.0,32.0
1730.0,1731.0,2.0,30.0
1730.0,1732.0,5.0,66.0
